Path_1,Path_2,Path_3,Path_4,Path_5
100344.71707975442,100550.13871561344,101410.74450747498,100189.33102610239,98256.88431310645
99341.2858575049,102128.08559559788,101494.28792483013,99944.51657569615,97199.60219754839
100126.53023949504,102234.90100996499,101193.73836802428,100386.01975842849,96033.70794949135
101108.3356667703,102860.82644218447,99353.5424420526,101255.48671009214,94107.19785001385
99176.11979351609,101005.68266330977,99842.61435077427,100732.98218289086,93110.12551385384
97924.33913378112,100361.75977452638,100542.78575327435,100713.43723365935,92291.61249953936
98088.69573938215,99324.40483945761,98791.59937830798,101923.91864564052,91901.51312275541
97817.73298347567,97481.89158949781,99951.93876959318,100840.71131754469,93494.08367528401
97840.42556528337,97634.91889104592,100757.24706830223,102700.92213393956,93281.99863665669
97044.9399265127,95484.18992937701,101938.44033895574,101366.67799493307,93162.99427825143
97937.1691389039,94259.89549785126,102574.05209269268,101057.14003278267,93674.69702140043
98738.09140990926,93791.24114719241,103285.59055578681,100137.32805307531,93489.85991616035
98842.78409698982,93049.08434063198,103864.73444738063,102368.31461871343,93901.35830551488
99996.51780308432,93455.15845592032,104808.3168116358,101893.99100339727,94202.42002990212
100504.00947286171,93778.12097185505,102944.03073366082,101424.42155682412,94355.58239338851
99680.5876983551,94653.81988945208,101439.95726127643,101088.96156053357,97003.63981201497
100088.03288215016,95403.84136064726,100733.92714478882,101226.04103088049,97926.26649993073
99168.34136248408,96530.38212097582,100643.44775849488,100934.0628374164,96906.14705299845
100079.15329252926,96567.14243496484,101074.33951923938,100840.30841167115,97303.67756799095
100069.21952485763,96898.81860629344,101442.93909158828,97321.7783339113,96572.21000947885
99924.25688827263,97433.22886790498,102616.74123512885,97416.33601413458,97041.79311851943
99283.8128038496,97610.22285362786,103836.33638026472,97472.64910676042,95746.10330746473
100537.31198310993,97261.56469169732,102972.01817923755,98523.95868603722,94723.74609400636
100422.1671204098,96977.13050697441,103258.87362192174,99853.10693736948,95087.3977187352
100032.19990586211,96223.07668425802,102424.71586498163,99705.61584887281,96074.09027578661
99719.96584866448,96667.2586004896,102272.87425716974,100559.32432783296,96595.43089728405
100290.67237304705,96615.04361247321,102642.88868911,99491.81793494245,97459.10738930566
100697.29495129437,96012.96402151401,99185.14530220056,100295.05750864935,97862.4112628882
101153.1844445339,95415.52832701016,101616.4152646287,99761.01059968768,98070.36506924081
101629.43488211007,94298.7861973636,102232.62602445367,98619.0488371721,97615.61938237405
103846.63100999383,95259.54121542722,101664.51597309463,98475.47066751267,98448.2823812958
103466.1213599637,95372.53586322363,103664.63291215048,99893.98268972653,99496.63769544874
102977.51012478893,94587.8106194735,103345.93551780844,100114.75392233177,99473.63835979554
102180.6982352146,95390.43335788285,103524.22729104203,101653.00525042578,99397.11722719214
102850.98258948157,94893.97498281405,103061.3541032318,100932.55714763912,101018.68757432091
104053.2820787438,93597.24821967706,104805.14380221706,102030.55308541824,101038.46523540096
103976.33732204013,94590.52307988005,104737.03648732373,101405.96281365748,101155.35246331296
103144.36392444941,94120.31643723513,104935.49651905296,101675.0219076018,101685.63502800441
102335.21576441791,93773.10744619653,106240.6654969456,101936.0042298743,101626.85436955153
103041.93538389183,93849.23247390342,106904.81781683625,102651.07687343947,100833.81904617051
103849.01564087492,94959.08338281103,106889.47904394443,102949.52525068694,101255.26969826917
104454.61560817761,95016.09424390557,108119.12596126592,102229.71808837318,101256.53031622879
103801.24184783737,93914.74642293017,110906.95949198124,103170.5452910451,103162.43111152052
104083.74868101011,94463.09303076392,111303.35255365132,104998.37306009536,104017.0787765103
104246.83314481495,94042.74197355723,111477.83178691955,104427.38831408131,103439.28232903132
104516.50781461173,95855.81453954906,111712.6342928941,102552.67434247312,104234.79270043991
105469.10134454057,95893.08354672322,113221.23466254136,103105.7609830722,104597.38993214742
105747.11320101743,93788.19632284302,112588.10408273213,102805.53722195122,106008.85462304033
106507.34354037655,94160.8777630466,112319.78686055653,102711.87844146186,105495.29026084719
106621.92314949461,96029.59246430488,110637.86213173905,103324.22381322335,105736.53282731639
106972.83658183592,97581.35413194304,109372.31118290218,102893.98956708904,105674.04925164486
107690.9326386553,99407.05666210136,108849.73027711944,102658.51464357061,105778.11644567021
106164.78431930975,98433.10589946649,108832.38290207039,102596.79684047263,104884.08091719523
105867.87197566083,99370.33907572263,110801.25139419004,104145.75602101817,105530.07420934773
105412.24560499587,98692.63878910834,111439.45862998767,104218.73053996317,106013.36424950401
104780.95501673168,98953.47297143278,110467.61905940372,102972.6147126361,107418.27838963176
104534.57072024852,97733.4237231092,109707.62339762865,101782.3764177044,107450.47610338952
106139.11503075514,97142.6684091976,111259.71055505026,101964.80089122114,107050.93278143638
